Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Date,Pages,Issue,Volume,Publisher,Place
1996,"Hong, Y; Stanley, J",Virus resistance in Nicotiana benthamiana conferred by African cassava mosaic virus replication-associated protein (AC1) transgene,Molecular Plant-Microbe Interactions,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000488009&partnerID=40&md5=54d79f3a824b4e088d75405b00428300,"The replication-associated protein AC1 of the bipartite geminivirus African cassava mosaic virus (ACMV) is essential for viral DNA replication. Transient expression of AC1 or the truncated N-terminal portion of the protein caused a significant reduction in the level of viral DNA replication in Nicotiana tabacum protoplasts. N. benthamiana plants have been transformed with the AC1 coding sequence cloned downstream of the enhanced cauliflower mosaic virus 35S promoter. Five lines produced detectable levels of the appropriate-sized AC1-specific transcript, although none was able to complement the systemic infection of an ACMV AC1 mutant. However, all lines showed some level of resistance to ACMV infection; the majority of plants either remained asymptomatic or produced delayed and attenuated symptoms, and accumulated significantly reduced levels of viral DNA in comparison with infected control plants. In leaf disk assays, viral DNA replication was also reduced in transformed lines. None of the transformed lines showed resistance to the related geminiviruses tomato golden mosaic virus and beet curly top virus, demonstrating the specific nature of the interaction. Possible mechanisms for the resistance phenomenon are discussed.",1996,219-225,4,9,,
1986,"Schilde-Rentschler, L; Roca  Cali (Colombia)), W M (Centro Internacional de Agricultura Tropical",Virus elimination in potato and cassava,,,,,1986,,,,,
2016,"Tolin, S A; Fayad, A",Virus diseases of tropical vegetable crops and their management,Integrated Pest Management of Tropical Vegetable Crops,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018615331&doi=10.1007%2F978-94-024-0924-6_3&partnerID=40&md5=b395e141617b71f4bc81b7256b02ac7e,"Viruses have long been known to be prevalent in plants in tropical and sub-tropical developing countries, particularly in staple crops such as cassava, rice, coconut and pulses. The need to address a wider range of vegetable crops was identified by the IPM-Innovation Lab. To meet these needs, a team of virologists was organized to work across countries and regions with IPM specialists to document virus disease problems in priority crops; mainly tomato and peppers, melons and various gourds and cucurbits, locally preferred vegetables such as eggplant (brinjal), okra (bhendi) and yardlong bean, and fruits (passion fruit, tree tomato). These crops constitute important sources of income and food sources, for many farmers, and were observed to be infected by a wide diversity of viruses. Demands for increased production, increased uniformity of vegetables grown for domestic and export markets, changes in production practices leading to scale up of production of seeds and seedlings, changes related to intensification and global climate change, and greater crop uniformity across regions, appear to be associated with crop losses due to viruses. This chapter summarizes more than two decades of research results to identify problems, and describes progress to enhance local capacity for in- country diagnosis and implementation of integrated disease management practices. © Springer Science+Business Media Dordrecht 2016.",2016,41-76,,,,"Department of Plant Pathology, Physiology and Weed Science, Virginia Tech, Blacksburg, VA, United States"
1987,"FARGETTE, D; THOUVENEL, J.‐C.; FAUQUET, C",Virus content of leaves of cassava infected by African cassava mosaic virus,Annals of Applied Biology,10.1111/j.1744-7348.1987.tb03233.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981878947&doi=10.1111%2Fj.1744-7348.1987.tb03233.x&partnerID=40&md5=0cb47e754070f9e9018d2dc095da23c2,"African cassava mosaic virus (ACMV) was detected in cassava leaves by ELISA. Some normal constituents of cassava leaves interfered with virus detection but leaf extracts of Nicotiana benthamiana did not. The symptom pattern was determined early in the growth of a leaf and subsequently changed little. ACMV was found only in the yellow or yellow green areas of the mosaic pattern. Virus content of the leaves increased with increasing symptom intensity, but decreased with leaf age and ACMV was not detected in mature leaves. Most whiteflies were found on young growing cassava leaves and the number decreased progressively with leaf age. This distribution will aid both the acquisition and inoculation of the virus. Copyright © 1987, Wiley Blackwell. All rights reserved",1987,65-73,1,110,,
2010,,Virus attacks cassava plants,Pestology,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956277191&partnerID=40&md5=5e0ee0bb80c285f5c516b007f14363dc,,2010,09-Sep,7,34,,
2005,"Onyeka, T J; Ekpo, E J A; Dixon, A G O",Virulence and host-pathogen interaction of Botryodiplodia theobromae isolates of cassava root rot disease,Journal of Phytopathology,10.1111/j.1439-0434.2005.01030.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745303472&doi=10.1111%2Fj.1439-0434.2005.01030.x&partnerID=40&md5=f9bd2aa9882aed9d58ecbcf6eca18c0a,"Pathogenic variation of Botryodiplodia theobromae, the cause of cassava root rot disease in Nigeria, was evaluated with 84 isolates from three different ecological zones and four genetically diverse cassava genotypes using root slice inoculation assay. Significant variation was observed for the aggressiveness of isolates, resistance of cassava genotypes and isolate-genotype interactions for percentage diseased area. The isolate effect accounted for 32.13% of total variation, 38.60% was due to genotype effect and 29.16% due to isolate-genotype interactions. The virulence distribution of the pathogen isolates on each of the cassava genotypes showed that 11.36% of the isolates were highly virulent on 30572, 27.27% on 91/02324, 67.05% on TME-1 and 90.91% on 92/0057. Biplot and joint regression analysis confirmed that the isolates varied significantly in their aggressiveness, and there was a quantitative differential interaction between B. theobromae isolates and cassava genotypes for percentage diseased area of inoculated root slice. However, there was relative consistency in the virulence classification of the isolates on resistant and susceptible controls. © 2005 Blackwell Verlag.",2005,726-729,11-Dec,153,,
2016,"da Silva, V.D.P.R.; de Oliveira, S D; Braga, C C; Brito, J I B; de Sousa, F.D.A.S.; de Holanda, R M; Campos, J.H.B.C.; de Souza, E P; Braga, A C R; Rodrigues Almeida, R S; de Araújo, L E",Virtual water and water self-sufficiency in agricultural and livestock products in Brazil,Journal of Environmental Management,10.1016/j.jenvman.2016.10.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993990193&doi=10.1016%2Fj.jenvman.2016.10.015&partnerID=40&md5=bca02d32bbaca908c3c9872aa61c8b42,"Virtual water trade is often considered a solution for restricted water availability in many regions of the world. Brazil is the world leader in the production and export of various agricultural and livestock products. The country is either a strong net importer or a strong net exporter of these products. The objective of this study is to determine the volume of virtual water contained in agricultural and livestock products imported/exported by Brazil from 1997 to 2012, and to define the water self-sufficiency index of agricultural and livestock products in Brazil. The indexes of water scarcity (WSI), water dependency (WDI) and water self-sufficiency (WSSI) were calculated for each Brazilian state. These indexes and the virtual water balance were calculated following the methodology developed by Chapagain and Hoekstra (2008) and Hoekstra and Hung (2005). The total water exports and imports embedded in agricultural and livestock products were 5.28 × 1010 and 1.22 × 1010 Gm3 yr−1, respectively, which results in positive virtual water balance of 4.05 × 1010 Gm3 yr−1. Brazil is either a strong net importer or a strong net exporter of agricultural and livestock products among the Mercosur countries. Brazil has a positive virtual water balance of 1.85 × 1010 Gm3 yr−1. The indexes used in this study reveal that Brazil is self-sufficient in food production, except for a few products such as wheat and rice. Horticultural products (tomato, onion, potato, cassava and garlic) make up a unique product group with negative virtual water balance in Brazil. © 2016 Elsevier Ltd",2016,465-472,,184,,
2009,"Caciagli, Piero; Medina Piles, Vicente; Marian, Daniele; Vecchiati, Manuela; Masenga, Vera; Mason, Giovanna; Falcioni, Tania; Noris, Emanuela","Virion Stability Is Important for the Circulative Transmission of Tomato Yellow Leaf Curl Sardinia Virus by Bemisia tabaci, but Virion Access to Salivary Glands Does Not Guarantee Transmissibility",Journal of Virology,10.1128/JVI.02267-08,,"The capsid protein (CP) of the monopartite begomovirus Tomato yellow leaf curl Sardinia virus (TYLCSV), family Geminiviridae, is indispensable for plant infection and vector transmission. A region between amino acids 129 and 152 is critical for virion assembly and insect transmissibility. Two previously described mutants, one with a double Q129P Q134H mutation (PNHD) and another with a further D152E change (PNHE), were found nontransmissible (NT). Another NT mutant with a single N130D change (QDQD) was retrieved from a new mutational analysis. In this study, these three NT mutants and the wild-type (wt) virus were compared in their relationships with the whitefly vector Bemisia tabaci and the nonvector Trialeurodes vaporariorum. Retention kinetics of NT mutants were analyzed by quantitative dot blot hybridization in whiteflies fed on infected plants. The QDQD mutant, whose virions appeared nongeminate following purification, was hardly detectable in either whitefly species at any sampling time. The PNHD mutant was acquired and circulated in both whitefly species for up to 10 days, like the wt virus, while PNHE circulated in B. tabaci only. Using immunogold labeling, both PNHD and PNHE CPs were detected in B. tabaci salivary glands (SGs) like the wt virus, while no labeling was found in any whitefly tissue with the QDQD mutant. Significant inhibition of transmission of the wt virus was observed after prior feeding of the insects on plants infected with the PNHE mutant, but not on plants infected with the other mutants. Virion stability and ability to cross the SG barrier are necessary for TYLCSV transmission, but interactions with molecular components inside the SGs are also critical for transmissibility.",2009,5784-5795,11,83,,
2008,"Raja, Priya; Sanville, Bradley C; Buchmann, R Cody; Bisaro, David M",Viral genome methylation as an epigenetic defense against geminiviruses,Journal of Virology,10.1128/JVI.00719-08,,"Geminiviruses encapsidate single-stranded DNA genomes that replicate in plant cell nuclei through double-stranded DNA intermediates that associate with cellular histone proteins to form minichromosomes. Like most plant viruses, geminiviruses are targeted by RNA silencing and encode suppressor proteins such as AL2 and L2 to counter this defense. These related proteins can suppress silencing by multiple mechanisms, one of which involves interacting with and inhibiting adenosine kinase (ADK), a cellular enzyme associated with the methyl cycle that generates S-adenosyl-methionine, an essential methyltransferase cofactor. Thus, we hypothesized that the viral genome is targeted by small-RNA-directed methylation. Here, we show that Arabidopsis plants with mutations in genes encoding cytosine or histone H3 lysine 9 (H3K9) methyltransferases, RNA-directed methylation pathway components, or ADK are hypersensitive to geminivirus infection. We also demonstrate that viral DNA and associated histone H3 are methylated in infected plants and that cytosine methylation levels are significantly reduced in viral DNA isolated from methylation-deficient mutants. Finally, we demonstrate that Beet curly top virus L2(-) mutant DNA present in tissues that have recovered from infection is hypermethylated and that host recovery requires AGO4, a component of the RNA-directed methylation pathway. We propose that plants use chromatin methylation as a defense against DNA viruses, which geminiviruses counter by inhibiting global methylation. In addition, our results establish that geminiviruses can be useful models for genome methylation in plants and suggest that there are redundant pathways leading to cytosine methylation.",2008,8997-9007,18,82,,
1996,"Pico, B; Diez, M J; Nuez, F",Viral diseases causing the greatest economic losses to the tomato crop .2. The Tomato yellow leaf curl virus - A review,Scientia Horticulturae,10.1016/S0304-4238(96)00945-4,,"Tomato yellow leaf curl geminivirus (TYLCV), transmitted by the whitefly Bemisia tabaci (Gennadius) is one of the most devastating diseases of cultivated tomato (Lycopersicon esculentum Mill.). TYLCV causes economic losses up to 100% in tomato crop in many tropical and subtropical regions, and is spreading towards new areas. The increasing economic importance of TYLCV has resulted in the need for accurate detection and identification procedures, stimulating intensive research efforts focused on virus biology, diversity, and epidemiology to develop successful control strategies. Breeding for resistance appears to be the best approach to control this disease, but to date only partially resistant hybrids are commercially available. Search for new sources of disease resistance needs to be intensified. The purpose of this paper is to collect and summarize all these efforts, offering an updated review of these new approaches on virus transmission, molecular biology, variability, diagnostic methods, and potential ways to control. This will lead to a better understanding of the virus-vector-host relationships, key factors in the adoption of disease control measures.",1996,151-196,03-Apr,67,,
1983,"Lozano, J C; Jayasinghe, U; Pineda, B",Viral diseases affecting cassava in the Americas,Cassava newsletter,,,,1983,,,v. 7,,
2012,"Anderson, B; Eghan, M J; Asare-Bediako, E; Buah-Bassuah, P K",Violet diode laser-induced chlorophyll fluorescence: A tool for assessing mosaic disease severity in cassava (Manihot esculenta Crantz) cultivars,Environmental Technology,10.1080/09593330.2011.575184,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859709399&doi=10.1080%2F09593330.2011.575184&partnerID=40&md5=8bc978b4df36e963db25d795b4231248,"Violet diode laser-induced chlorophyll fluorescence was used in agronomical assessment (disease severity and average yield per plant). Because cassava (Manihot esculenta Crantz) is of economic importance, improved cultivars with various levels of affinity for cassava mosaic disease were investigated. Fluorescence data correlated with cassava mosaic disease severity levels and with the average yield per plant. © 2012 Taylor & Francis.",2012,367-372,3,33,,
1997,"Waal, D de; Chinjinga, F R; Johansson, L; Kanju, F F; Nathaniels  Agricultural Research Institute, Naliendele, Box 59, Mtwara (Tanzania)), N (Farming Systems Research Unit",Village-based cassava breeding in Tanzania,,,,,1997,,,,,
1994,"Thro, Ann Marie",Village perspectives on cassava and implications for biotechnology research : a CBN case study in the lake zone of Northern Tanzania,,,,,1994,,,,,
1995,"Marie, Thro Ann; M., Msabaha; H., Kulembeka; W., Shengero; A., Kapande; L.V., Milingi Nicholas; L., Hemed; P., Digges; J., Cropley",Village perspectives on cassava : CBN case study in Tanzania.,Working document (CBN; CRIFC; AARD; CIAT). no. 150.,,,"The Cassava Biotechnology Network (CBN) has a role in providing biotechnologists with information on the needs of developing country producers, processors, marketers, and consumers of cassava. CBN is exploring ways of learning the perspectives of cassava users in a manner repeatable at intervals or in different regions. A study in Tanzania used Rapid Rural Appraisal (RRA), chosen for its fit cost- effectiveness and quickness. Major findings concerned villagers' perspectives on cassava production stresses (the region has been hard hit by delayed rains, insect pests and declining soil fertility); varietal diversity deployed to satisfy a range of requirements; reasons for use of both high and low cyanogenic cassava; and villagers' keen interest in new cassava cultivars and processing methods, including novel products for village - level commercialization. In the region studied, men are traditionally responsible for decisions about cassava production and processing, though comments by villagers suggested regular consultation between men and women. Women are responsible for most of the cassava-related labor. Decisions about small-scale daily harvest, processing and sales, are an exception; these decisions are generally made by women. Biotechnological research for villagers in this region can focus in the short term on microbial biotechnologies for faster, safer, more nutritious cassava products; and on exploring the feasibility of micropropagation for increasing initial planting material of desirable cultivars. In the medium term, transgenic experimental genotypes may permit study of cyanogenesis and its relationship to cassava productivity, plant defense and processing quality; postharvest deterioration and its effects on women's activities; and altered root protein or vitamin content. In the long term, molecular marker-assisted selection may permit faster and farther progress in cassava breeding for all villager concerns than is possible with present breeding tools, including complex research objectives such as adaptation to stress environments.",1995,,,,,
2006,"Karuniawan, A; Iswandi, A; Kale, P R; Heinzemann, J; Grüneberg, W J",Vigna vexillata (L.) A. Rich. cultivated as a root crop in Bali and Timor,Genetic Resources and Crop Evolution,10.1007/s10722-005-1654-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-31344432132&doi=10.1007%2Fs10722-005-1654-5&partnerID=40&md5=ce35f9e759c1981561baef0a91cabb82,"Vigna vexillata is considered as a pantropical distributed wild species closely related to the cowpea (Vigna uniculata) and adapted to infertile soils. The species is occasionally used for its storage roots as well as forage and erosion control plant. The objective of this study was to pursue personal communications that V. vexillata has be transformed into a cultivar in Indonesia. Seven Indonesian islands were visited (Java, Bali, Sumba, Flores, Timor, Kalimantan and Sulawesi). Wild V. vexillata was found in Java, Bali, Sumba, Flores and Timor, occasionally used as wild 'forest food', and cultivated V. vexillata was found in Bali and Timor, Seven cultivars were collected and two of these were made available for the National Botanic Garden of Belgium. The cultivars were primarily cultivated for their storage roots, propagated by seeds, required no scarified seeds for good germination and formed non-dehiscent pods. On-farm root yields of 18-30 t ha-1 and seed yields of 0.7-1.2 t ha-1 were estimated. A brief discussion about the common names of wild V. vexillata is given and it is proposed to use the name 'tuber cowpea' for V. vexillata accessions which are cultivated for their storage roots. The material may be of interest for regions, where the growing season is too short or the rainfall too low for sweet potato and cassava as well as to incorporate cultivar characteristics into wild V. vexillata accessions which are used for their storage roots. © Springer 2005.",2006,213-217,1,53,,
1996,"Henry, Guy; Tru, Le Cong; Gottret, Maria Veronica",Vietnamese cassava constraints and opportunities : the bottom line,,,,,1996,,,,,
2001,"Ressler, C; Tatake, J G","Vicianin, prunasin, and beta-cyanoalanine in common vetch seed as sources of urinary thiocyanate in the rat",Journal of Agricultural and Food Chemistry,10.1021/jf010343w,,"When young rats were fed a diet containing common vetch seed for 1 month,,they excreted in the urine similar to7 times more thiocyanate than they had ingested. Vicianin, prunasin, and beta -cyanoalanine were identified as principal dietary sources of the excreted thiocyanate. Vicianin was isolated by chromatography and crystallization. Its structure was confirmed by mass spectrometry and by identification of its monosaccharides and aglycon. Prunasin was identified chromatographically by HPLC. The combined seed content of vicianin (0.68,mu mol/g) and prunasin (0.16,mu mol/g) corresponded to the cyanogen content of the seed (0.91 +/- 0.14 mu mol/g; n = 7), determined as cyanide after autolysis. When vicianin was fed, the urinary thiocyanate output was 21% of the ingested amount of vicianin, whereas beta -cyanoalanine yielded a urinary thiocyanate output of <0.2%. Calculations show that 73% of the thiocyanate can be derived from vicianin and prunasin, with 27% derived from beta -cyanoalanine. High urinary output of thiocyanate has been associated with. endocrine and neurological disorders.",2001,5075-5080,10,49,,
2008,"van der Walt, Eric; Palmer, Kenneth E; Martin, Darren P; Rybicki, Edward P",Viable chimaeric viruses confirm the biological importance of sequence specific maize streak virus movement protein and coat protein interactions,Virology Journal,10.1186/1743-422X-5-61,,"Background: A variety of interactions between up to three different movement proteins (MPs), the coat protein (CP) and genomic DNA mediate the inter- and intra-cellular movement of geminiviruses in the genus Begomovirus. Although movement of viruses in the genus Mastrevirus is less well characterized, direct interactions between a single MP and the CP of these viruses is also clearly involved in both intra-and intercellular trafficking of virus genomic DNA. However, it is currently unknown how specific these MP-CP interactions are, nor how disruption of these interactions might impact on virus viability. Results: Using chimaeric genomes of two strains of Maize streak virus (MSV) we adopted a genetic approach to investigate the gross biological effects of interfering with interactions between virus MP and CP homologues derived from genetically distinct MSV isolates. MP and CP genes were reciprocally exchanged, individually and in pairs, between maize (MSV-Kom)-and Setaria sp. (MSV-Set)-adapted isolates sharing 78% genome-wide sequence identity. All chimaeras were infectious in Zea mays c. v. Jubilee and were characterized in terms of symptomatology and infection efficiency. Compared with their parental viruses, all the chimaeras were attenuated in symptom severity, infection efficiency, and the rate at which symptoms appeared. The exchange of individual MP and CP genes resulted in lower infection efficiency and reduced symptom severity in comparison with exchanges of matched MP-CP pairs. Conclusion: Specific interactions between the mastrevirus MP and CP genes themselves and/or their expression products are important determinants of infection efficiency, rate of symptom development and symptom severity.",2008,61-61,,5,,
2012,"Vieira, L J; Soares, T L; Rossi, M L; Alves, A A C; dos Santos, F A R; Souza, F V D","Viability, production and morphology of pollen grains for different species in the genus Manihot (Euphorbiaceae)",Acta Botanica Brasilica,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864027813&partnerID=40&md5=2ff6adb4c42d3a54309e727b6973fdae,"The objective of this work was to characterize the viability, production and morphology of pollen for different species in the genus Manihot. Floral buds from Manihot accessions were collected from two germplasm banks at Embrapa Cassava & Fruits. The viability of the pollen was assessed via colorimetric, in vitro and in vivo assays. The diameter of the pollen grains was determined by measuring the transversal length of the grain. The experimental design was entirely randomized. Studies on pollen ultrastructure were performed via scanning electron microscopy. Pollen viability was high in the colorimetric tests and intermediate in vivo tests; there was no germination in the in vitro tests. The average production for all accessions was 1,253 pollen grains per floral bud. The size of the pollen grains varied from 132 to 163 μm in the wild accessions, and 129 to 146 μm in the cultivated accessions. The pollen grains for all accessions were very large, apolar, spherical as well as inaperturate, with an exine ornamented with pila organized in a Croton pattern. The wild accessions, in general, produced more and larger pollen grains compared with the cultivated accessions.",2012,350-356,2,26,,
2010,"Pereira, P A P; de Melo Ramos, T; Gajo, Adriano Alvarenga; Gomes Jr., U; Pimenta Pereira, Patricia Aparecida; Ramos, Thais de Melo; Gajo, Adriano Alvarenga; Junior Gomes, Ulisses",Viability of using ricotta in preparation of cheese bread,Ciencia Rural,10.1590/S0103-84782010001100017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650811475&partnerID=40&md5=dda9f8f6719385f195cfcfb827ce7a24,"The cheese bread is a genuinely Brazilian product, which appeared in undefined time in the farms of Minas Gerais, with the basic raw material, cassava starch or sour cassava starch. Today has been highlighted by consumption and domestic production, up to today, even to the international market. Despite its acceptance, the cheese bread does not have a standard of quality and production technology defined by the great variety of optional ingredients. Several formulations are marketed and labeled as "cheese bread". The aim of this study was to analyze the feasibility of using ricotta cheese in the preparation of cheese. Physical analyzes density, crustal thickness, coefficient of expansion, color, texture and sensory. The percentages of cheese used in the formulations was 30% for half the cheese curing and 30%, 40% and 50% for the ricotta cheese, in relation to the percentage of cassava starch. The parameters analyzed it is concluded that increasing the percentage of ricotta cheese in the preparation of cheese bread has resulted in a softer, less gumminess, fracture, and chewiness of the crust with a thickness less, no difference in sensory cheese bread made with cheese half cure. It also follows that it is feasible to produce cheese bread with total replacement of the cheese half cure for ricotta cheese.""he cheese bread is a genuinely Brazilian product, which appeared in undefined time in the farms of Minas Gerais, with the basic raw material, cassava starch or sour cassava starch. Today has been highlighted by consumption and domestic production, up to today, even to the international market. Despite its acceptance, the cheese bread does not have a standard of quality and production technology defined by the great variety of optional ingredients. Several formulations are marketed and labeled as "cheese bread". The aim of this study was to analyze the feasibility of using ricotta cheese in the preparation of cheese. Physical analyzes density, crustal thickness, coefficient of expansion, color, texture and sensory. The percentages of cheese used in the formulations was 30% for half the cheese curing and 30%, 4""e cheese bread is a genuinely Brazilian product, which appeared in undefined time in the farms of Minas Gerais, with the basic raw material, cassava starch or sour cassava starch. Today has been highlighted by consumption and domestic production, up to today, even to the international market. Despite its acceptance, ",2010,2356-2360,11,40,,
2017,"Amorim, M C C; de S. e Silva, P T; Gavazza, S; Sobrinho, M A M",Viability of rapid startup and operation of UASB reactors for the treatment of cassava wastewater in the semi-arid region of northeastern Brazil,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035201658&doi=10.1002%2Fcjce.23041&partnerID=40&md5=da8b2327e48b311f810a4d05ac4c8d10,"The production of cassava flour generates wastewater with a high concentration of organic matter and nutrients, which gives this effluent potential as a source of both bioenergy and pollution. Thus, cassava wastewater needs to be properly treated prior to release into the environment. Different treatment processes are employed for this purpose, but studies involving up-flow anaerobic sludge blanket (UASB) reactors without modifications are scarce due to the rapid acidification of cassava wastewater. Thus, the aim of the present study was to evaluate the rapid startup of UASB reactors at 30°C for the cassava wastewater treatment. The reactor was operated under eight different conditions with a hydraulic retention time (HRT) of 8 or 12h and organic loading rates (OLR) of 12.0 or 15.5g COD·L-1·d-1. The systems were evaluated based on chemical oxygen demand (COD) removal, the production of methane, and the stability of the volatile fatty acids/total alkalinity ratio. The UASB system with the best performance was that with the 8h HRT and OLR of 12.0g COD·L-1·d-1, with COD removal rates ranging from 71 to 80% and methane production of 0.260L CH4·g -1 CODremoved. The system offers a real-scale prospect and is a promising option for the replacement of firewood in cassava flour toasting ovens, thereby contributing to the preservation of the semi-arid Caatinga biome in northeastern Brazil. © 2017 Canadian Society for Chemical Engineering.",2017,,,,,"Universidade Federal do Vale do São FranciscoPetrolina, PEBrasil"
2013,"Liu, H; Xie, L; Chen, Y G; Zhou, Q",VFAs production potential of brewery industry wastewater and starch wastewater,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886315123&doi=10.4028%2Fwww.scientific.net%2FAMR.777.225&partnerID=40&md5=296acdbceda9c92ccafaa606936bf52d,"The volatile fatty acids (VFAs) are kinds of effective external carbon source for enhanced biological nutrients removal. Volatile fatty acids (VFAs) production from anaerobic fermentation from cassava stillage (CS) wastewater, starch wastewater (SW) and the yellow wine wastewater (YWW) was conducted in batch tests. The VFAs production potential and the characteristics of the fermentative liquid were compared and discussed. Experimental results indicated that the cassava stillage wastewater and the starch wastewater were preferable feed for anaerobic VFAs fermentation. Acetic acid, propionic acid and butyric acid were the main components of the VFAs with respective percentage of 36.5%, 20% and 40% at the end of its fermentation. © (2013) Trans Tech Publications, Switzerland.",2013,,,777,,"State Key Laboratory of Pollution Control and Resources Reuse, Tongji University, Shanghai 200092, China"
,"Oku, Effiom(University of Abuja (Nigeria). Department of Soil Science); Aiyelari  Ibadan (Nigeria). Department of Agronomy), Ambrose(University of Ibadan; Fagbola  Ibadan (Nigeria). Department of Agronomy), Olajire(University of Ibadan; Essoka  Calabar (Nigeria). Department of Agronomy), Ayuk(Cross River University of Technology",Vetiver seedlings multiplication in rice husk amended soil and crops performance on erosion-prone hillside under veteriver buffer strips,Witthayasan Kasetsart (Sakha Witthayasat),,,,,,,,,
,"Samonte, P","Veterenarian [Dr. Richard Torno of Brgy. Ascomo, Guagua, Pampanga, Philippines] diversities to cassava production",Agriculture (Philippines),,,,,,,v. 15,,
2010,"Shen, N; Zhang, H; Wang, Q; Qin, Y; Liao, S; Wang, C; Huang, R",Very high gravity ethanol fermentation with cassava flour and sugarcane juice,Shengwu Gongcheng Xuebao/Chinese Journal of Biotechnology,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650331458&partnerID=40&md5=701c035855930901ec92624587bf268b,"We optimized the conditions of mixed fermentation of very high gravity ethanol with cassava flour and sugarcane juice. Based on the single factor experiment, we screened the important parameters for very high gravity ethanol fermentation with cassava flour and sugarcane juice by the Plackeet-burman design. Then, we obtained the optimum values of the important parameters by the orthogonal experiments: the mixing ratio of cassava flour to sugarcane juice, 1:5; initial pH of fermentation, 4.0-4.5; the concentrations of urea and MgSO4, 0.25% and 0.04% (W/W), respectively. Finally, we used a gradient temperature control strategy with the optimized conditions, and ethanol concentration of 17.84% (V/V) and fermentation efficiency of 91.82% were achieved, correspondingly. © CJB, All rights reserved.",2010,1269-1275,9,26,,
1997,"Ezealor, A U; Giles  Jr., R H",Vertebrate pests of a sahelian wetland agro-ecosystem: Perceptions and attitudes of the indigenes and potential management strategies,International Journal of Pest Management,10.1080/096708797228762,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030678523&doi=10.1080%2F096708797228762&partnerID=40&md5=179a878e475a269abff3bdbadce25e9b,"Information gathered from informal interviews and questionnaires to groups of men in local communities, together with observations made over exploratory transects, were used to appraise the nature of agriculture- wildlife conflicts and the perceptions of indigenous people in a Sahelian wetland about vertebrate pests. Twenty-one taxa of birds were reported as important as occasional pests of rice, millet, sorghum, wheat, cowpeas, tomatoes, peppers, and guava. Nine mammalian taxa were listed. Mammals also were perceived to produce losses in groundnuts, maize, and cassava. The relative effects of these animals on community livelihood or quality of life varied from 36% (pests), 28% (source of food), 16% (folklore and naturopathy), 12% (seasonal calender), to 8% (aesthetic). These people, many at subsistence levels, said they would tolerate 5% loss (six communities), 10% (eight), 15% (two), 20% (five), one each would tolerate up to 30 35% loss, and two reported 50% tolerable-loss levels. Many techniques to reduce these losses were listed. Most communities used acoustic scaring devices. Wild depredatory vertebrates of the area and local management practices were identified. A systems approach is recommended as a means of improving the output of agricultural goods and other beneficial resources from the wetland. The approach incorporates a concept of integrated vertebrate faunal damage management (IVFDM), in which emphasis is directed towards damage management rather than controlling the pest species per se. Water management is suggested as one technique in IVFDM. © 1997 Taylor & Francis Group, LLC.",1997,97-104,2,43,,
2005,"Christy, A M V; Ramalingam, R",Vermicomposting of sago-industrial solid waste using an epigeic earthworm Eudrilus eugeniae and macronutrients analysis of vermicompost,"Asian Journal of Microbiology, Biotechnology and Environmental Sciences",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-29544451199&partnerID=40&md5=8722cffbba2b2d7d624c49db2747235e,"India ranks fifth in world Tapioca production and it is cultivated in 3.6 lakhs hectare. There are about 1000 sago factories in Tamilnadu. About 3 million tones of pressmud is produced annually in India from the sugar factories. Using sago solid waste (SSW) and pressmud (PM) four feed mix combinations were prepared on the weight basis (E1 - PM alone; E2-SSW+PM 1:4; E3-SSW+PM2:3 and E4 - SSW + PM 3:2 ratio). In each treatment 5 kg of feed substrate were prepared in rectangular cement cisterns and by introducing 50 young Eudrilus eugeniae, vermicomposted for 75 days under laboratory conditions at room temperature with 60-70% moisture. Chemical analsysis of SSW and PM indicated that PM containing N, P, K, Ca, Mg, S in higher quantities with narrow C:N (13:1) ratio whereas SSW containing OM, OC, Na in higher quantities with wider C: N (66:1) ratio. In the vermicomposted SSW + PM mixture the pH reduced towards neutrality (pH 7). The level of macronutrients increased (N 15-44%, P 14% K 9-17%, Ca 39-42%, Mg 30-38%) significantly (Pf<0.05 over control compost along with reduction in C:N (9:1) and C:P (5:1) ratio due to combined action of earthworms and microbes leading to accelerated rate of decomposition and mineralization of organic wastes. The reduced level of S and Na in the vermicompost may be due to their higher utilization by earthworms. It is concluded that the unutilized SSW and PM, using earthworms can be utilized for vermiculture and production of nutrient rich good quality vermicompost. © Global Science Publications.",2005,377-381,3,7,,
